,tag,label
0,accounting finance jobs,Stellen aus Buchhaltung Finanzwesen
1,it jobs,IT Stellen
2,sales jobs,Vertriebsstellen
3,customer services jobs,Kundendienststellen
4,engineering jobs,Technikerstellen
5,hr jobs,Stellen aus Personal Personalbeschaffung
6,healthcare nursing jobs,Stellen aus Gesundheitswesen Pflege
7,hospitality catering jobs,Stellen aus Gastronomie Catering
8,pr advertising marketing jobs,Stellen aus PR Werbung Marketing
9,logistics warehouse jobs,Stellen aus Logistik Lagerhaltung
10,teaching jobs,Lehrberufe
11,trade construction jobs,Stellen aus Handel Bau
12,admin jobs,Verwaltungsstellen
13,legal jobs,Juristische Stellen
14,creative design jobs,Stellen aus Kreation Design
15,graduate jobs,Stellen fr Hochschulabsolventen
16,retail jobs,Stellen aus Einzelhandel
17,consultancy jobs,Beraterstellen
18,manufacturing jobs,Stellen aus Fertigung
19,scientific qa jobs,Stellen aus Wissenschaft Qualittssicherung
20,social work jobs,Stellen aus Sozialarbeit
21,travel jobs,Stellen aus Tourismus
22,energy oil gas jobs,Stellen aus Versorgungsunternehmen
23,property jobs,Immobilienstellen
24,charity voluntary jobs,Gemeinntzige ehrenamtliche Stellen
25,domestic help cleaning jobs,Stellen aus Haushaltshilfen Reinigung
26,maintenance jobs,Stellen aus Wartung
27,part time jobs,Teilzeitstellen
28,other general jobs,SonstigeAllgemeine Stellen
29,unknown,Unknown
